#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
128,"Vicente Aguirre, Hgo.","Las Golondrinas","Aguas del Valle de México","Hidalgo","1858.500","21.800","1858.150","20.800","1849.370","2.920",14
127,"Pucuato, Mich.","Pucuato","Balsas","Michoacán","2500.000","11.534","2499.000","9.485","2497.270","6.381",67
126,"Derivadora Pabellón, Ags.","Der. Potrerillos","Lerma-Santiago-Pacífico","Aguascalientes","2093.000","2.100","2092.600","2.038","2086.310","1.207",59
125,"Salinillas, N.L.","Salinillas","Río Bravo","Nuevo León","232.000","19.011","232.000","19.011","230.820","13.609",72
124,"Lázaro Cárdenas, Son.","La Angostura","Noroeste","Sonora","840.150","1116.460","830.700","703.380","828.470","621.783",88
123,"La Cangrejera, Ver.","La Cangrejera","Golfo Centro","Veracruz de Ignacio de la Llave","21.650","31.600","21.250","28.537","16.480","5.330",19
122,"La Boquilla, Chih.","Lago Toronto","Río Bravo","Chihuahua","1319.100","3278.098","1317.000","2893.571","1313.260","2291.920",79
121,"Derivadora Las Blancas, Tamps.","Derivadora Las Blancas","Río Bravo","Tamaulipas","91.800","124.000","89.920","83.784","83.620","18.402",22
120,"Rodrigo Gómez, N.L.","La Boca","Río Bravo","Nuevo León","449.200","42.628","447.550","35.003","445.580","26.668",76
119,"Juan Sabines, Chis.","El Portillo II o Cuxtepeques","Frontera Sur","Chiapas","618.270","116.110","612.120","68.150","604.110","29.872",44
118,"Josefa Ortiz de Domínguez, Sin.","El Sabino","Pacífico Norte","Sinaloa","112.650","695.440","109.500","518.928","104.120","288.090",56
117,"José López Portillo, Sin.","El Comedero","Pacífico Norte","Sinaloa","286.950","3966.170","272.160","2580.190","253.640","1358.640",53
116,"Juan Guerrero Alcocer, Sin.","Vinoramas","Pacífico Norte","Sinaloa","176.280","102.000","168.500","55.000","154.790","10.231",19
115,"Presidente Benito Juárez, Oax.","El Marqués","Pacífico Sur","Oaxaca","139.850","1726.629","124.250","720.317","103.700","106.023",15
114,"Jocoque, Ags.","Der. Jocoqui","Lerma-Santiago-Pacífico","Aguascalientes","1943.400","11.400","1942.450","10.975","1942.150","10.760",98
113,"Jaripo, Mich.","Jaripo","Lerma-Santiago-Pacífico","Michoacán","1580.420","9.265","1578.910","6.028","1577.170","3.063",51
112,"Valentín Gama, S.L.P.","Ojo Caliente","Cuencas Centrales del Norte","San Luis Potosí","1788.100","22.400","1783.800","9.510","1777.920","1.266",13
111,"Ignacio R. Alatorre, Son.","Punta de Agua","Noroeste","Sonora","102.710","29.690","100.000","16.160","92.410","0.247",2
110,"La Purísima, Gto.","La Purísima","Lerma-Santiago-Pacífico","Guanajuato","1860.790","181.926","1852.070","98.230","1847.090","61.878",63
109,"Chila, Jal.","Chila","Lerma-Santiago-Pacífico","Jalisco","99.000","1.000","98.700","0.762","95.530","0.244",32
108,"El Chique, Zac.","El Chique","Lerma-Santiago-Pacífico","Zacatecas","1586.480","192.567","1580.180","138.909","1576.990","115.222",83
107,"Manuel Moreno Torres, Chis.","Chicoasén","Frontera Sur","Chiapas","395.000","1443.090","392.500","1384.860","392.190","1377.260",100
106,"La Codorniz, Ags.","La Codorniz","Lerma-Santiago-Pacífico","Aguascalientes","1837.760","6.528","1836.000","5.366","1830.390","2.643",49
105,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro","Golfo Centro","Oaxaca","72.800","3550.000","64.860","2599.510","57.950","1575.230",61
104,"Cuchillo Solidaridad, N.L.","El Cuchillo","Río Bravo","Nuevo León","166.660","1784.290","162.350","1123.143","161.580","1027.430",92
103,"Caboraca, Dgo.","Canoas","Pacífico Norte","Durango","2001.280","57.880","1998.250","45.000","1997.340","40.803",91
102,"Ramón López Velarde, Zac.","Boca del Tesorero","Lerma-Santiago-Pacífico","Zacatecas","2098.160","36.744","2096.000","26.220","2092.760","14.379",55
101,"Manuel Ávila Camacho, Pue.","Valsequillo o Balcón del Diablo","Balsas","Puebla","2062.000","391.489","2059.000","300.097","2055.520","214.024",71
100,"Basilio Vadillo, Jal.","Las Piedras","Lerma-Santiago-Pacífico","Jalisco","978.970","146.888","974.340","124.689","961.320","73.217",59
99,"Abelardo Rodríguez Lujan, Son.","Hermosillo","Noroeste","Sonora","228.400","284.470","226.980","219.500","214.810","0.006",0
98,"Adolfo Ruíz Cortínes, Son.","Mocuzari","Noroeste","Sonora","145.470","1822.550","136.300","1039.840","117.370","202.929",20
97,"Ing. Benjamín Ortega Cantero, Dgo.","Agua Puerca","Cuencas Centrales del Norte","Durango","1434.100","56.060","1430.200","30.764","1429.150","25.472",83
96,"Álvaro Obregón, Son.","El Oviachic","Noroeste","Sonora","112.200","4409.360","105.500","3023.140","90.490","996.186",33
95,"Doctor Belisario Domínguez, Chis.","Angostura","Frontera Sur","Chiapas","539.500","19736.430","533.000","15549.160","519.550","8585.850",55
94,"Internacional La Amistad, Coah.","La Amistad","Río Bravo","Coahuila de Zaragoza","349.080","7000.000","340.462","4040.325","331.470","2139.480",53
93,"Aristeo Mercado, Mich.","Wilson","Lerma-Santiago-Pacífico","Michoacán","1993.800","28.981","1993.500","25.344","1995.500","2.487",10
